Stop ID,Neighborhood,Station Name,Line,canTransfer,Latitude,Longitude,Express
198,Canarsie,Montrose Av,L,FALSE,40.707739,-73.93985,local
199,Canarsie,Morgan Av,L,FALSE,40.706152,-73.933147,local
200,Canarsie,Myrtle - Wyckoff Avs,L,TRUE,40.699814,-73.911586,local
201,Canarsie,Myrtle - Wyckoff Avs,M,TRUE,40.699814,-73.911586,local
202,Canarsie,New Lots Av,L,FALSE,40.658733,-73.899232,local
203,Canarsie,Sutter Av,L,FALSE,40.669367,-73.901975,local
204,Canarsie,Wilson Av,L,FALSE,40.688764,-73.904046,local
205,Franklin,Franklin Av,C,TRUE,40.680596,-73.955827,local
206,Franklin,Franklin Av,S2,TRUE,40.680596,-73.955827,local
207,Franklin,Park Place,S2,FALSE,40.674772,-73.957624,local
208,Myrtle,Central Av,M,FALSE,40.697857,-73.927397,local
209,Myrtle,Forest Av,M,FALSE,40.704423,-73.903077,local
210,Myrtle,Fresh Pond Rd,M,FALSE,40.706186,-73.895877,local
211,Myrtle,Knickerbocker Av,M,FALSE,40.698664,-73.919711,local
212,Myrtle,Middle Village - Metropolitan Av,M,FALSE,40.711396,-73.889601,local
213,Myrtle,Seneca Av,M,FALSE,40.702762,-73.90774,local
214,Nassau,Bowery,J,TRUE,40.72028,-73.993915,local
215,Nassau,Bowery,Z,TRUE,40.72028,-73.993915,express
216,Nassau,Broad St,J,TRUE,40.706476,-74.011056,local
217,Nassau,Broad St,Z,TRUE,40.706476,-74.011056,express
218,Sea Beach,18th Av,N,FALSE,40.620671,-73.990414,express
219,Sea Beach,20th Av,N,FALSE,40.61741,-73.985026,express
220,Sea Beach,86th St,N,FALSE,40.592721,-73.97823,express
221,Sea Beach,8th Av,N,FALSE,40.635064,-74.011719,express
222,Sea Beach,Av U,N,FALSE,40.597473,-73.979137,express
223,Sea Beach,Bay Parkway,N,FALSE,40.611815,-73.981848,express
224,Sea Beach,Fort Hamilton Parkway,N,FALSE,40.631386,-74.005351,express
225,Sea Beach,Kings Highway,N,FALSE,40.603923,-73.980353,express
226,West End,18th Av,D,FALSE,40.607954,-74.001736,express
227,West End,20th Av,D,FALSE,40.604556,-73.998168,express
228,West End,25th Av,D,FALSE,40.597704,-73.986829,express
229,West End,50th St,D,FALSE,40.63626,-73.994791,express
230,West End,55th St,D,FALSE,40.631435,-73.995476,express
231,West End,62nd St,D,TRUE,40.626472,-73.996895,express
232,West End,New Utrecht Av,N,TRUE,40.626472,-73.996895,express
233,West End,71st St,D,FALSE,40.619589,-73.998864,express
234,West End,79th St,D,FALSE,40.613501,-74.00061,express
235,West End,9th Av,D,FALSE,40.646292,-73.994324,express
236,West End,Bay 50th St,D,FALSE,40.588841,-73.983765,express
237,West End,Bay Parkway,D,FALSE,40.601875,-73.993728,express
238,West End,Fort Hamilton Parkway,D,FALSE,40.640914,-73.994304,express
239,63rd Street,21st St,F,FALSE,40.754203,-73.942836,express
240,63rd Street,Lexington Av - 63rd St,F,TRUE,40.764627,-73.96611,local
241,63rd Street,Lexington Av - 63rd St,Q,TRUE,40.764627,-73.96611,local
242,63rd Street,Roosevelt Island,F,FALSE,40.759145,-73.95326,express
243,6 Avenue,14th St,F,TRUE,40.738228,-73.996209,local
244,6 Avenue,6th Av,L,TRUE,40.738228,-73.996209,local
245,6 Avenue,14th St,M,TRUE,40.738228,-73.996209,local
246,6 Avenue,14th St,1,TRUE,40.738228,-73.996209,local
247,6 Avenue,14th St,2,TRUE,40.738228,-73.996209,express
248,6 Avenue,14th St,3,TRUE,40.738228,-73.996209,express
249,6 Avenue,23rd St,F,TRUE,40.742878,-73.992821,local
250,6 Avenue,23rd St,M,TRUE,40.742878,-73.992821,local
251,6 Avenue,2nd Av,F,FALSE,40.723402,-73.989938,local
252,6 Avenue,42nd St - Bryant Park,B,TRUE,40.754222,-73.984569,express
253,6 Avenue,42nd St - Bryant Park,D,TRUE,40.754222,-73.984569,express
254,6 Avenue,42nd St - Bryant Park,F,TRUE,40.754222,-73.984569,local
255,6 Avenue,42nd St - Bryant Park,M,TRUE,40.754222,-73.984569,local
256,6 Avenue,5th Av,7,TRUE,40.754222,-73.984569,express
257,6 Avenue,47-50th Sts - Rockefeller Center,B,TRUE,40.758663,-73.981329,express
258,6 Avenue,47-50th Sts - Rockefeller Center,D,TRUE,40.758663,-73.981329,express
259,6 Avenue,47-50th Sts - Rockefeller Center,F,TRUE,40.758663,-73.981329,local
260,6 Avenue,47-50th Sts - Rockefeller Center,M,TRUE,40.758663,-73.981329,local
261,6 Avenue,57th St,F,FALSE,40.763972,-73.97745,local
262,6 Avenue,7th Av,F,TRUE,40.666271,-73.980305,local
263,6 Avenue,Bergen St,F,TRUE,40.686145,-73.990862,local
264,6 Avenue,Bergen St,G,TRUE,40.686145,-73.990862,local
265,6 Avenue,Broadway - Lafayette St,B,TRUE,40.725297,-73.996204,express
266,6 Avenue,Broadway - Lafayette St,D,TRUE,40.725297,-73.996204,express
267,6 Avenue,Broadway - Lafayette St,F,TRUE,40.725297,-73.996204,local
268,6 Avenue,Broadway - Lafayette St,M,TRUE,40.725297,-73.996204,local
269,6 Avenue,Bleecker St,6,TRUE,40.725297,-73.996204,local
270,6 Avenue,Carroll St,F,TRUE,40.680303,-73.995048,local
271,6 Avenue,Carroll St,G,TRUE,40.680303,-73.995048,local
272,6 Avenue,Church Av,F,TRUE,40.644041,-73.979678,local
273,6 Avenue,Delancey St,F,TRUE,40.718611,-73.988114,local
274,6 Avenue,Delancey St,J,TRUE,40.718611,-73.988114,local
275,6 Avenue,Delancey St,M,TRUE,40.718611,-73.988114,local
276,6 Avenue,Delancey St,Z,TRUE,40.718611,-73.988114,express
277,6 Avenue,East Broadway,F,FALSE,40.713715,-73.990173,local
278,6 Avenue,Fort Hamilton Parkway,F,TRUE,40.650782,-73.975776,local
279,6 Avenue,Grand St,B,TRUE,40.718267,-73.993753,express
280,6 Avenue,Grand St,D,TRUE,40.718267,-73.993753,express
281,6 Avenue,15th St - Prospect Park,F,TRUE,40.660365,-73.979493,local
282,6 Avenue,Smith - 9th Sts,F,TRUE,40.67358,-73.995959,local
283,6 Avenue,Smith - 9th Sts,G,TRUE,40.67358,-73.995959,local
285,6 Avenue,York St,F,FALSE,40.699743,-73.986885,local
286,8 Avenue,103rd St,B,TRUE,40.796092,-73.961454,local
287,8 Avenue,103rd St,C,TRUE,40.796092,-73.961454,local
288,8 Avenue,116th St,B,TRUE,40.805085,-73.954882,local
289,8 Avenue,116th St,C,TRUE,40.805085,-73.954882,local
290,8 Avenue,125th St,A,TRUE,40.811109,-73.952343,express
291,8 Avenue,125th St,B,TRUE,40.811109,-73.952343,local
292,8 Avenue,125th St,C,TRUE,40.811109,-73.952343,local
293,8 Avenue,125th St,D,TRUE,40.811109,-73.952343,express
294,8 Avenue,135th St,B,TRUE,40.817894,-73.947649,local
295,8 Avenue,135th St,C,TRUE,40.817894,-73.947649,local
296,8 Avenue,145th St,A,TRUE,40.824783,-73.944216,express
297,8 Avenue,145th St,B,TRUE,40.824783,-73.944216,local
298,8 Avenue,145th St,C,TRUE,40.824783,-73.944216,local
299,8 Avenue,145th St,D,TRUE,40.824783,-73.944216,express
300,8 Avenue,155th St,C,FALSE,40.830518,-73.941514,local
301,8 Avenue,163rd St - Amsterdam Av,C,FALSE,40.836013,-73.939892,local
304,8 Avenue,175th St,A,FALSE,40.847391,-73.939704,express
305,8 Avenue,181st St,A,FALSE,40.851695,-73.937969,express
306,8 Avenue,190th St,A,FALSE,40.859022,-73.93418,express
307,8 Avenue,23rd St,C,TRUE,40.745906,-73.998041,local
308,8 Avenue,23rd St,E,TRUE,40.745906,-73.998041,local
309,8 Avenue,34th St - Penn Station,A,TRUE,40.752287,-73.993391,express
310,8 Avenue,34th St - Penn Station,C,TRUE,40.752287,-73.993391,local
311,8 Avenue,34th St - Penn Station,E,TRUE,40.752287,-73.993391,local
312,8 Avenue,50th St,C,TRUE,40.762456,-73.985984,local
313,8 Avenue,50th St,E,TRUE,40.762456,-73.985984,local
314,8 Avenue,59th St - Columbus Circle,A,TRUE,40.768296,-73.981736,express
315,8 Avenue,59th St - Columbus Circle,B,TRUE,40.768296,-73.981736,local
316,8 Avenue,59th St - Columbus Circle,C,TRUE,40.768296,-73.981736,local
317,8 Avenue,59th St - Columbus Circle,D,TRUE,40.768296,-73.981736,express
318,8 Avenue,59th St - Columbus Circle,1,TRUE,40.768296,-73.981736,local
319,8 Avenue,72nd St,B,TRUE,40.775594,-73.97641,local
320,8 Avenue,72nd St,C,TRUE,40.775594,-73.97641,local
321,8 Avenue,81st St - Museum of Natural History,B,TRUE,40.781433,-73.972143,local
322,8 Avenue,81st St - Museum of Natural History,C,TRUE,40.781433,-73.972143,local
323,8 Avenue,86th St,B,TRUE,40.785868,-73.968916,local
324,8 Avenue,86th St,C,TRUE,40.785868,-73.968916,local
325,8 Avenue,96th St,B,TRUE,40.791646,-73.964699,local
326,8 Avenue,96th St,C,TRUE,40.791646,-73.964699,local
327,8 Avenue,Canal St,A,TRUE,40.720824,-74.005229,express
328,8 Avenue,Canal St,C,TRUE,40.720824,-74.005229,local
329,8 Avenue,Canal St,E,TRUE,40.720824,-74.005229,local
330,8 Avenue,Cathedral Parkway - 110th St,B,TRUE,40.800605,-73.958158,local
331,8 Avenue,Cathedral Parkway - 110th St,C,TRUE,40.800605,-73.958158,local
332,8 Avenue,Chambers St,A,TRUE,40.714111,-74.008585,express
333,8 Avenue,Chambers St,C,TRUE,40.714111,-74.008585,local
334,8 Avenue,World Trade Center,E,TRUE,40.714111,-74.008585,local
335,8 Avenue,Park Place,2,TRUE,40.714111,-74.008585,express
336,8 Avenue,Park Place,3,TRUE,40.714111,-74.008585,express
337,8 Avenue,Dyckman St,A,FALSE,40.865491,-73.927271,express
338,8 Avenue,High St,A,TRUE,40.699337,-73.990531,express
339,8 Avenue,High St,C,TRUE,40.699337,-73.990531,local
340,8 Avenue,Inwood - 207th St,A,FALSE,40.868072,-73.919899,express
341,8 Avenue,Spring St,C,TRUE,40.726227,-74.003739,local
342,8 Avenue,Spring St,E,TRUE,40.726227,-74.003739,local
343,8 Avenue,West 4th St - Washington Square,A,TRUE,40.732338,-74.000495,express
344,8 Avenue,West 4th St - Washington Square,B,TRUE,40.732338,-74.000495,express
345,8 Avenue,West 4th St - Washington Square,C,TRUE,40.732338,-74.000495,local
346,8 Avenue,West 4th St - Washington Square,D,TRUE,40.732338,-74.000495,express
347,8 Avenue,West 4th St - Washington Square,E,TRUE,40.732338,-74.000495,local
348,8 Avenue,West 4th St - Washington Square,F,TRUE,40.732338,-74.000495,local
349,8 Avenue,West 4th St - Washington Square,M,TRUE,40.732338,-74.000495,local
350,Archer Av,Jamaica - Van Wyck,E,FALSE,40.702566,-73.816859,express
351,Archer Av,Jamaica Center - Parsons/Archer,E,TRUE,40.702147,-73.801109,express
352,Archer Av,Jamaica Center - Parsons/Archer,J,TRUE,40.702147,-73.801109,local
353,Archer Av,Jamaica Center - Parsons/Archer,Z,TRUE,40.702147,-73.801109,express
354,Archer Av,Sutphin Blvd - Archer Av - JFK Airport,E,TRUE,40.700486,-73.807969,express
355,Archer Av,Sutphin Blvd - Archer Av - JFK Airport,J,TRUE,40.700486,-73.807969,local
356,Archer Av,Sutphin Blvd - Archer Av - JFK Airport,Z,TRUE,40.700486,-73.807969,express
357,Concourse,155th St,B,TRUE,40.830135,-73.938209,local
358,Concourse,155th St,D,TRUE,40.830135,-73.938209,express
359,Concourse,167th St,B,TRUE,40.833769,-73.918432,local
360,Concourse,167th St,D,TRUE,40.833769,-73.918432,express
361,Concourse,170th St,B,TRUE,40.839306,-73.9134,local
362,Concourse,170th St,D,TRUE,40.839306,-73.9134,express
363,Concourse,174-175th Sts,B,TRUE,40.8459,-73.910136,local
364,Concourse,174-175th Sts,D,TRUE,40.8459,-73.910136,express
365,Concourse,182-183rd Sts,B,TRUE,40.856093,-73.900741,local
366,Concourse,182-183rd Sts,D,TRUE,40.856093,-73.900741,express
367,Concourse,Bedford Park Blvd,B,TRUE,40.873244,-73.887138,local
368,Concourse,Bedford Park Blvd,D,TRUE,40.873244,-73.887138,express
369,Concourse,Fordham Rd,B,TRUE,40.861296,-73.897749,local
370,Concourse,Fordham Rd,D,TRUE,40.861296,-73.897749,express
371,Concourse,Kingsbridge Rd,B,TRUE,40.866978,-73.893509,local
372,Concourse,Kingsbridge Rd,D,TRUE,40.866978,-73.893509,express
373,Concourse,Norwood - 205th St,D,FALSE,40.874811,-73.878855,express
374,Concourse,Tremont Av,B,TRUE,40.85041,-73.905227,local
375,Concourse,Tremont Av,D,TRUE,40.85041,-73.905227,express
376,Crosstown,21st St,G,FALSE,40.744065,-73.949724,local
377,Crosstown,Bedford - Nostrand Avs,G,FALSE,40.689627,-73.953522,local
378,Crosstown,Broadway,G,FALSE,40.706092,-73.950308,local
379,Crosstown,Classon Av,G,FALSE,40.688873,-73.96007,local
380,Crosstown,Clinton - Washington Avs,G,FALSE,40.688089,-73.966839,local
381,Crosstown,Flushing Av,G,FALSE,40.700377,-73.950234,local
382,Crosstown,Fulton St,G,FALSE,40.687119,-73.975375,local
383,Crosstown,Greenpoint Av,G,FALSE,40.731352,-73.954449,local
384,Crosstown,Myrtle - Willoughby Avs,G,FALSE,40.694568,-73.949046,local
